,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,capacity,finish-year
0,0,Project 21,131496,170895.0,179437.16666666666,2044-05-01,2048-10-28 15:00:00,2049-10-19 14:00:00,Humboldt,1000,2049
1,1,Project 20,131496,162352.83333333334,170895.0,2044-05-01,2047-11-07 17:00:00,2048-10-28 15:00:00,Humboldt,1000,2048
2,2,Project 19,122712,153810.6666666667,162352.83333333334,2043-05-01,2046-11-16 19:00:00,2047-11-07 17:00:00,Humboldt,1000,2047
3,3,Project 18,113952,145268.50000000003,153810.6666666667,2042-05-01,2045-11-25 21:00:00,2046-11-16 19:00:00,Humboldt,1000,2046
4,4,Project 35,113952,142412.50000000003,150954.6666666667,2042-05-01,2045-07-29 21:00:00,2046-07-20 19:00:00,Long Beach,1000,2046
5,5,Project 17,105192,136726.33333333337,145268.50000000003,2041-05-01,2044-12-04 23:00:00,2045-11-25 21:00:00,Humboldt,1000,2045
6,6,Project 34,96432,133870.33333333337,142412.50000000003,2040-05-01,2044-08-07 23:00:00,2045-07-29 21:00:00,Long Beach,1000,2045
7,7,Project 29,96432,128184.16666666672,136726.33333333337,2040-05-01,2043-12-15 01:00:00,2044-12-04 23:00:00,Coos Bay,1000,2044
8,8,Project 16,96432,125328.16666666672,133870.33333333337,2040-05-01,2043-08-18 01:00:00,2044-08-07 23:00:00,Humboldt,1000,2044
9,9,Project 28,87648,119642.00000000004,128184.16666666672,2039-05-01,2042-12-24 03:00:00,2043-12-15 01:00:00,Coos Bay,1000,2043
10,10,Project 15,87648,116786.00000000004,125328.16666666672,2039-05-01,2042-08-27 03:00:00,2043-08-18 01:00:00,Humboldt,1000,2043
11,11,Project 33,78888,111099.83333333337,119642.00000000004,2038-05-01,2042-01-02 04:00:00,2042-12-24 03:00:00,Long Beach,1000,2042
12,12,Project 27,78888,108243.83333333337,116786.00000000004,2038-05-01,2041-09-05 04:00:00,2042-08-27 03:00:00,Coos Bay,1000,2042
13,13,Project 14,78888,102557.6666666667,111099.83333333337,2038-05-01,2041-01-11 06:00:00,2042-01-02 04:00:00,Humboldt,1000,2042
14,14,Project 26,70128,99701.6666666667,108243.83333333337,2037-05-01,2040-09-14 06:00:00,2041-09-05 04:00:00,Coos Bay,1000,2041
15,15,Project 13,70128,94015.50000000003,102557.6666666667,2037-05-01,2040-01-21 08:00:00,2041-01-11 06:00:00,Humboldt,1000,2041
16,16,Project 32,61368,91159.50000000003,99701.6666666667,2036-05-01,2039-09-24 08:00:00,2040-09-14 06:00:00,Long Beach,1000,2040
17,17,Project 25,61368,85473.33333333336,94015.50000000003,2036-05-01,2039-01-30 10:00:00,2040-01-21 08:00:00,Coos Bay,1000,2040
18,18,Project 12,61368,82617.33333333336,91159.50000000003,2036-05-01,2038-10-03 10:00:00,2039-09-24 08:00:00,Humboldt,1000,2039
19,19,Project 24,52584,76931.16666666669,85473.33333333336,2035-05-01,2038-02-08 12:00:00,2039-01-30 10:00:00,Coos Bay,1000,2039
20,20,Project 11,52584,74075.16666666669,82617.33333333336,2035-05-01,2037-10-12 12:00:00,2038-10-03 10:00:00,Humboldt,1000,2038
21,21,Project 23,43824,68389.00000000001,76931.16666666669,2034-05-01,2037-02-17 14:00:00,2038-02-08 12:00:00,Coos Bay,1000,2038
22,22,Project 31,43824,65533.000000000015,74075.16666666669,2034-05-01,2036-10-21 14:00:00,2037-10-12 12:00:00,Long Beach,1000,2037
23,23,Project 22,35064,56990.83333333334,68389.00000000001,2033-05-01,2035-10-31 15:00:00,2037-02-17 14:00:00,Coos Bay,1000,2037
24,24,Project 10,43824,56990.83333333334,65533.000000000015,2034-05-01,2035-10-31 15:00:00,2036-10-21 14:00:00,Humboldt,1000,2036
25,25,Project 9,35064,45592.66666666667,56990.83333333334,2033-05-01,2034-07-13 17:00:00,2035-10-31 15:00:00,Humboldt,1000,2035
26,26,Project 30,26304,45592.66666666667,56990.83333333334,2032-05-01,2034-07-13 17:00:00,2035-10-31 15:00:00,Long Beach,1000,2035
27,27,Project 7,26304,34194.5,45592.66666666667,2032-05-01,2033-03-25 19:00:00,2034-07-13 17:00:00,Coos Bay,1000,2034
28,28,Project 8,26304,34194.5,45592.66666666667,2032-05-01,2033-03-25 19:00:00,2034-07-13 17:00:00,Humboldt,1000,2034
29,29,Project 6,17520,22796.333333333336,34194.5,2031-05-01,2031-12-06 21:00:00,2033-03-25 19:00:00,Coos Bay,1000,2033
30,30,Project 3,17520,22796.333333333336,34194.5,2031-05-01,2031-12-06 21:00:00,2033-03-25 19:00:00,Long Beach,1000,2033
31,31,Project 5,8760,11398.166666666668,22796.333333333336,2030-05-01,2030-08-18 23:00:00,2031-12-06 21:00:00,Humboldt,1000,2031
32,32,Project 2,8760,11398.166666666668,22796.333333333336,2030-05-01,2030-08-18 23:00:00,2031-12-06 21:00:00,Long Beach,1000,2031
33,33,Project 4,0,0.0,11398.166666666668,2029-05-01,2029-05-01 00:00:00,2030-08-18 23:00:00,Humboldt,1000,2030
34,34,Project 1,0,0.0,11398.166666666668,2029-05-01,2029-05-01 00:00:00,2030-08-18 23:00:00,Long Beach,1000,2030
